Id,SalePrice
1461,118158.36260776359
1462,159697.10121941735
1463,182844.6973138859
1464,204302.33340932732
1465,206431.5067125744
1466,172811.38583465148
1467,190620.3338449856
1468,162480.84497318562
1469,187551.59292852864
1470,115853.4968779421
1471,196931.5383253341
1472,96550.52037573863
1473,93188.43648806808
1474,142635.48082466828
1475,112109.24986856579
1476,349987.99554799596
1477,256663.49268806656
1478,286513.02570795675
1479,286830.38159281685
1480,429862.8790395134
1481,300284.4804022262
1482,217922.31897796606
1483,183808.81968434667
1484,161694.9227307417
1485,185607.61000285743
1486,199026.72929202046
1487,318738.20819848764
1488,242377.3642952532
1489,195681.53895611773
1490,239599.94903149322
1491,198546.7087792489
1492,90664.88217864964
1493,185580.30584326613
1494,300935.8796017201
1495,295472.116740207
1496,233522.2058307979
1497,177745.86685732714
1498,159721.10727959382
1499,156551.82522998267
1500,147319.33325496703
1501,165925.4647313109
1502,142064.81952935553
1503,279722.4545095818
1504,241365.18633910085
1505,227734.03574806414
1506,178876.30913919705
1507,242145.03860667805
1508,200752.81140882045
1509,161076.94813318364
1510,141612.71388958927
1511,150247.81553264934
1512,179062.97860216023
1513,146476.38646542805
1514,151956.40671287774
1515,207343.91164599813
1516,157969.10620363447
1517,171706.28783912308
1518,128496.85387214628
1519,217543.38281994846
1520,127049.46163604422
1521,133175.39675101818
1522,179882.6669523575
1523,109519.65703365896
1524,125730.30506071154
1525,123855.95756101806
1526,110279.14927580721
1527,105463.83139213722
1528,143142.1985064398
1529,153403.4054268092
1530,203852.65983779696
1531,104714.12263344906
1532,97083.04560634
1533,145937.89514264773
1534,129934.50854258983
1535,150065.809455979
1536,107608.22525979026
1537,59159.81790575157
1538,151356.46522065852
1539,189285.02182850507
1540,94817.29436656591
1541,145396.43769145603
1542,144328.0095574354
1543,175675.70189966832
1544,86255.67154462906
1545,117593.98793679551
1546,137783.42318326986
1547,141243.47635277078
1548,143509.61290075188
1549,122034.49778283628
1550,135302.35873050443
1551,107092.73232528198
1552,135659.21852722156
1553,153344.455499704
1554,119380.61947684934
1555,159830.92048862026
1556,97887.47801211198
